"Country, Other","Total Cases","New Cases","Total Deaths","New Deaths","Total Recovered","Active Cases","Serious Critical","Tot Cases/1M Pop"
"China","80696","+45","3097","+27","57090","20509","5264","56.1"
"S. Korea","7134","+93","50","+2","118","6966","36","139.1"
"Italy","5883","","233","","589","5061","567","97.3"
"Iran","5823","","145","","1669","4009","","69.3"
"France","949","","16","","12","921","45","14.5"
"Germany","800","","","","18","782","9","9.5"
"Diamond Princess","696","","6","","245","445","32",""
"Spain","525","","10","","30","485","9","11.2"
"Japan","461","","6","","76","379","28","3.6"
"USA","444","+9","19","","15","410","8","1.3"
"Switzerland","268","","1","","3","264","","31.0"
"UK","209","","2","","18","189","","3.1"
"Netherlands","188","","1","","","187","1","11.0"
"Belgium","169","","","","1","168","1","14.6"
"Sweden","161","","","","1","160","","15.9"
"Norway","156","","","","","156","","28.8"
"Singapore","138","","","","90","48","8","23.6"
"Hong Kong","108","","2","","51","55","6","14.4"
"Malaysia","93","","","","23","70","","2.9"
"Bahrain","85","","","","6","79","","50.0"
"Austria","81","","","","2","79","1","9.0"
"Australia","78","+4","3","","22","53","1","3.1"
"Greece","66","","","","","66","1","6.3"
"Kuwait","61","","","","1","60","","14.3"
"Canada","60","","","","8","52","1","1.6"
"Iraq","54","","4","","1","49","","1.3"
"Thailand","50","","1","","31","18","1","0.7"
"Iceland","50","","","","1","49","",""
"Egypt","48","","","","1","47","",""
"Taiwan","45","","1","","15","29","","1.9"
"UAE","45","","","","7","38","2","4.5"
"India","39","+5","","","3","36","",""
"Lebanon","28","","","","1","27","3","4.1"
"Denmark","27","","","","1","26","","4.7"
"San Marino","26","","1","","","25","5",""
"Czechia","26","","","","","26","","2.4"
"Israel","25","","","","3","22","1","2.9"
"Portugal","21","","","","","21","","2.1"
"Vietnam","21","+1","","","16","5","",""
"Algeria","19","","","","","19","",""
"Brazil","19","","","","","19","",""
"Finland","19","","","","1","18","","3.4"
"Ireland","19","","","","","19","","3.8"
"Palestine","19","","","","","19","","3.7"
"Oman","16","","","","2","14","","3.1"
"Russia","15","","","","3","12","",""
"Ecuador","14","","","","","14","1","0.8"
"Georgia","13","","","","","13","1","3.3"
"Romania","13","","","","3","10","","0.7"
"Croatia","12","","","","","12","","2.9"
"Qatar","12","","","","","12","","4.2"
"Slovenia","12","","","","","12","","5.8"
"Macao","10","","","","10","0","",""
"Estonia","10","","","","","10","","7.5"
"Argentina","9","","1","","","8","",""
"Azerbaijan","9","","","","","9","","0.9"
"Mexico","7","+1","","","1","6","1",""
"Saudi Arabia","7","","","","1","6","",""
"Chile","7","","","","","7","",""
"Philippines","6","","1","","2","3","1",""
"Belarus","6","","","","","6","","0.6"
"Pakistan","6","","","","1","5","",""
"Peru","6","","","","","6","",""
"Poland","6","","","","","6","",""
"New Zealand","5","","","","","5","","1.0"
"Costa Rica","5","+4","","","","5","","1.0"
"French Guiana","5","","","","","5","",""
"Hungary","5","","","","","5","","0.5"
"Afghanistan","4","","","","","4","",""
"Indonesia","4","","","","","4","",""
"Senegal","4","","","","1","3","",""
"Luxembourg","3","","","","","3","",""
"North Macedonia","3","","","","","3","","1.4"
"Bosnia and Herzegovina","3","","","","","3","","0.9"
"Malta","3","","","","","3","",""
"Slovakia","3","","","","","3","","0.5"
"Cambodia","2","","","","1","1","",""
"Dominican Republic","2","","","","","2","",""
"Morocco","2","","","","","2","1",""
"Bulgaria","2","","","","","2","",""
"Cameroon","2","","","","","2","",""
"Faeroe Islands","2","","","","","2","",""
"Maldives","2","","","","","2","",""
"South Africa","2","","","","","2","",""
"Andorra","1","","","","","1","",""
"Armenia","1","","","","","1","",""
"Jordan","1","","","","","1","",""
"Latvia","1","","","","1","0","","0.5"
"Lithuania","1","","","","","1","",""
"Monaco","1","","","","","1","",""
"Nepal","1","","","","1","0","",""
"Nigeria","1","","","","","1","",""
"Sri Lanka","1","","","","1","0","",""
"Tunisia","1","","","","","1","",""
"Ukraine","1","","","","","1","",""
"Bhutan","1","","","","","1","",""
"Colombia","1","","","","","1","",""
"Gibraltar","1","","","","","1","1",""
"Vatican City","1","","","","","1","",""
"Liechtenstein","1","","","","","1","",""
"Moldova","1","","","","","1","",""
"Paraguay","1","","","","","1","",""
"Serbia","1","","","","","1","",""
"Togo","1","","","","","1","",""
"Total:","106211","162","3600","29","60197","42414","6036","13.6"
